Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,31.309999,31.68,29.860001,30.68,29.63208,368478100
2016-11-01,30.85,31.889999,29.549999,29.82,29.039482,568074900
2016-12-01,29.84,31.07,29.120001,30.219999,29.429012,439906100
2017-01-01,30.370001,31.049999,29.799999,30.719999,29.915926,388575200
2017-02-01,30.85,34.32,30.42,34.18,33.571171,476004900
2017-03-01,34.279999,34.529999,33.650002,33.799999,33.197937,404059400
2017-04-01,33.700001,34.110001,32.419998,34.07,33.463131,323261900
2017-05-01,34.110001,34.599998,30.370001,31.530001,31.23815,548236800
2017-06-01,31.52,32.5,31.09,31.299999,31.010277,480580000
2017-07-01,31.09,32.25,30.67,31.450001,31.15889,344021400
2017-08-01,31.59,32.470001,30.360001,32.209999,32.209999,505595400
2017-09-01,32.220001,32.75,31.459999,32.599998,32.599998,254896200
2017-09-20,32.549999,32.75,32.389999,32.599998,32.599998,19865366
