Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,128.380005,133.5,126.75,130.990005,130.990005,313200300
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,643698100
2016-12-01,118.379997,122.5,114,115.050003,115.050003,408552500
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378697000
2017-02-01,132.25,137.179993,130.300003,135.539993,135.539993,384599500
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342068300
2017-04-01,141.929993,151.529999,138.809998,150.25,150.25,275586300
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403561500
2017-06-01,151.75,156.5,144.559998,150.979996,150.979996,411956600
2017-07-01,151.720001,175.490005,147.800003,169.25,169.25,419822700
2017-08-01,169.820007,173.050003,165,171.970001,171.970001,303622800
2017-09-01,172.399994,174,169.339996,172.169998,172.169998,169938600
2017-09-20,172.5,173.050003,170.699997,172.169998,172.169998,12264125
