Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,24.450001,27.780001,24.450001,27.639999,25.02276,543770100
12/1/2014,27.5,28.59,26.15,27.82,25.185719,577440600
1/1/2015,27.860001,28.700001,26.32,26.370001,23.873013,659576200
2/1/2015,26.389999,29.99,25.92,29.51,26.899403,613960100
3/1/2015,29.360001,30.309999,26.620001,27.530001,25.094563,626908500
4/1/2015,27.309999,29.33,26.84,28.83,26.480679,489669800
5/1/2015,28.809999,29.9,28.690001,29.309999,26.921566,515192300
6/1/2015,29.6,29.620001,27.33,27.459999,25.222317,507094700
7/1/2015,27.42,28.77,26.84,28.42,26.104086,520262100
8/1/2015,28.41,29.209999,23.030001,25.879999,23.95426,690091300
9/1/2015,25.219999,26.73,24.92,26.25,24.29673,555471400
10/1/2015,26.049999,29.49,25.34,28.85,26.703262,509644800
11/1/2015,28.870001,28.870001,25.82,27.25,25.425726,630636200
12/1/2015,27.200001,27.9,25.959999,27.16,25.341749,501853200
1/1/2016,26.389999,26.66,22.469999,23.790001,22.197359,786139500
2/1/2016,23.459999,26.91,22.459999,26.18,24.617701,677066400
3/1/2016,26.450001,28.68,26.24,28.469999,26.771042,498048600
4/1/2016,28.299999,28.700001,26.950001,27.49,25.849527,442744600
5/1/2016,27.48,29.08,25.809999,29.049999,27.566248,542288700
6/1/2016,28.84,29.41,27.129999,28.690001,27.224638,498282700
7/1/2016,28.780001,31.15,28.17,30.530001,28.970657,441859300
8/1/2016,30.700001,31.700001,30.059999,31.440001,30.105968,545109400
9/1/2016,31.42,31.950001,30.6,31.719999,30.374086,439073300
10/1/2016,31.309999,31.68,29.860001,30.68,29.378216,368478100
11/1/2016,30.85,31.889999,29.549999,29.82,28.790695,568074900
12/1/2016,29.84,31.07,29.120001,30.219999,29.176888,439906100
1/1/2017,30.370001,31.049999,29.799999,30.719999,29.65963,388575200
2/1/2017,30.85,34.32,30.42,34.18,33.283558,476004900
3/1/2017,34.279999,34.529999,33.650002,33.799999,32.913525,404059400
4/1/2017,33.700001,34.110001,32.419998,34.07,33.176445,323261900
5/1/2017,34.110001,34.599998,30.370001,31.530001,30.970526,548236800
6/1/2017,31.52,32.5,31.09,31.299999,30.744606,480580000
7/1/2017,31.09,32.25,30.67,31.450001,30.891945,344021400
8/1/2017,31.59,32.470001,30.360001,32.209999,31.93405,505595400
9/1/2017,32.220001,34.099998,31.459999,33.630001,33.341885,415433800
10/1/2017,33.610001,33.900002,33.290001,33.439999,33.153511,44545900
