Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,7.5,67.912697,7.44,7.44,6.458537,16151892
12/1/2014,67.751198,71.703003,7.22,7.5,6.554111,13949527
1/1/2015,7.5,71.956314,7.2,67.625832,59.096954,108625091
2/1/2015,65.519997,74.229897,7.43,73.954498,64.627457,36663071
3/1/2015,65.519997,72.434502,7.68,8.6,7.995703,57052722
4/1/2015,67.960197,71.004799,8.5,8.8,8.18165,28851282
5/1/2015,8.8,71.566948,8.8,9.43,8.767382,35553183
6/1/2015,67.787277,68.281105,9.3,65.519997,61.351833,59422121
7/1/2015,61.630001,65.519997,10,55.759998,52.212734,95133340
8/1/2015,13.4,65.519997,10.48,65.519997,61.351833,75132243
9/1/2015,50.16,65.519997,12.9,19.9,18.767605,101334014
10/1/2015,65.519997,65.519997,19.700001,63.400002,59.792278,72215450
11/1/2015,65.519997,68,20.450001,67.339996,63.508072,49243271
12/1/2015,23.9,69.75,22.200001,65.519997,62.152111,69961275
1/1/2016,66.599998,66.599998,19.959999,52.759998,50.048,146830559
2/1/2016,52.240002,65.519997,21,65.519997,62.152111,44565213
3/1/2016,65.519997,65.699997,25.65,38.450001,37.152321,49107011
4/1/2016,62.970001,66.860001,36,65.910004,63.685555,35527476
5/1/2016,66.339996,68.790001,37.549999,53.900002,52.080887,51924905
6/1/2016,65.519997,70.800003,54.599998,64.800003,62.98127,35195510
7/1/2016,64.739998,69.870003,60.799999,69.169998,67.228607,34298446
8/1/2016,57.5,71.089996,53.650002,69.599998,67.646538,52248061
9/1/2016,59.900002,69.980003,57.549999,66.970001,65.450394,15497390
10/1/2016,65.519997,70.169998,49,65.519997,64.033295,19021255
11/1/2016,69,71.330002,51,65.519997,64.033295,32323759
12/1/2016,73.75,75.339996,36.650002,73.400002,72.152962,27213061
1/1/2017,73.400002,78.360001,38,75.5,74.217278,72320881
2/1/2017,65.519997,80.080002,51.700001,78.540001,77.205627,17874308
3/1/2017,53.049999,82.370003,52.200001,80.330002,79.530106,31748095
4/1/2017,65.519997,82.279999,52.25,79.75,78.955879,16466120
5/1/2017,79.919998,81.260002,48,69.190002,68.50103,31206938
6/1/2017,70.800003,83.440002,46.5,80.709999,80.288071,14436520
7/1/2017,72.480003,85.480003,44.5,46,45.759525,17143594
8/1/2017,46,83.040001,43.700001,70.800003,70.800003,13776073
9/1/2017,44,45.200001,38.900002,40,40,11328800
10/1/2017,40,43.950001,39.950001,42.900002,42.900002,3233500
