Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,33.810001,37.689999,33,37.25,34.022064,562628200
12/1/2014,37.209999,37.900002,35.330002,36.290001,33.362587,600051700
1/1/2015,36.669998,37.490002,33,33.040001,30.37475,689011900
2/1/2015,33.060001,34.75,32.610001,33.25,30.56781,456084000
3/1/2015,33.290001,34.5,29.309999,31.27,28.953733,908832500
4/1/2015,31.129999,33.040001,30.450001,32.549999,30.138916,565542000
5/1/2015,32.630001,34.75,31.93,34.459999,31.907434,498240700
6/1/2015,34.369999,34.59,30.15,30.42,28.370371,701674000
7/1/2015,30.49,30.92,27.620001,28.950001,26.999416,829691000
8/1/2015,29,29.68,24.870001,28.540001,26.617041,705852500
9/1/2015,27.91,30.32,27.66,30.139999,28.342749,679595200
10/1/2015,30.209999,35.029999,29.459999,33.860001,31.840929,703082200
11/1/2015,33.73,35.290001,31.93,34.77,32.696659,459844100
12/1/2015,35,35.59,33.82,34.450001,32.623947,427101000
1/1/2016,33.880001,34.009998,29.209999,31.02,29.375761,615261600
2/1/2016,30.719999,31.120001,27.68,29.59,28.021557,525908300
3/1/2016,29.93,32.75,29.75,32.349998,30.9049,471657000
4/1/2016,32.27,32.470001,30.1,30.280001,28.927372,515341600
5/1/2016,30.450001,31.65,29.5,31.59,30.17885,431365600
6/1/2016,31.620001,33,30.440001,32.799999,31.605465,484666300
7/1/2016,32.639999,35.93,32.380001,34.860001,33.590443,529577000
8/1/2016,34.82,35.900002,33.990002,35.889999,34.582928,389327300
9/1/2016,35.990002,38.049999,35.060001,37.75,36.650921,505382300
10/1/2016,37.689999,38.360001,34.709999,34.869999,33.854767,466446700
11/1/2016,34.900002,35.66,33.419998,34.700001,33.689716,412344200
12/1/2016,34.860001,37.349998,33.560001,36.27,35.480629,405486600
1/1/2017,36.610001,38.450001,36.189999,36.82,36.018658,455994500
2/1/2017,36.82,36.950001,34.84,36.200001,35.412155,477394600
3/1/2017,35.849998,36.299999,34.66,36.07,35.536877,546151800
4/1/2017,36.189999,37.5,35.209999,36.150002,35.615696,444122200
5/1/2017,36.110001,37.169998,35.02,36.110001,35.57629,432717500
6/1/2017,36.119999,36.57,33.34,33.740002,33.488609,499195700
7/1/2017,33.509998,35.860001,33.23,35.470001,35.205719,440639100
8/1/2017,35.66,36.700001,34.380001,35.07,34.808697,496928000
9/1/2017,35.240002,38.150002,34.93,38.080002,38.080002,431948900
10/1/2017,38.119999,39.700001,38.080002,39.34,39.34,99531600
