Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,60.790001,61.93,59.419998,60.16,55.950859,211518300
12/1/2014,59.98,63.490002,58.110001,62.580002,58.201542,347616300
1/1/2015,62.18,62.959999,54.369999,54.380001,50.57526,467915100
2/1/2015,54.529999,61.919998,54.27,61.279999,57.359127,317561500
3/1/2015,61.279999,62.869999,58.869999,60.580002,56.703922,331993100
4/1/2015,60.41,64.480003,59.650002,63.259998,59.21244,324974700
5/1/2015,63.700001,67.190002,63.25,65.779999,61.980457,267716800
6/1/2015,65.989998,69.82,65.580002,67.760002,63.846077,337102600
7/1/2015,68.120003,70.610001,65.209999,68.529999,64.571609,325426300
8/1/2015,68.589996,69.419998,50.07,64.099998,60.792244,372963100
9/1/2015,62.849998,64.639999,58.73,60.970001,57.823765,353379200
10/1/2015,61.119999,65.830002,58.529999,64.25,60.934502,332311400
11/1/2015,64.449997,69.029999,64.389999,66.68,63.695408,248014800
12/1/2015,67.339996,68,63.509998,66.029999,63.074501,316286300
1/1/2016,63.950001,64.129997,54.66,59.5,56.836788,470090500
2/1/2016,59.16,59.650002,52.5,56.299999,54.140793,477781500
3/1/2016,56.759998,60.970001,56.669998,59.220001,56.948803,356701600
4/1/2016,59.02,64.660004,57.07,63.200001,60.776161,344474900
5/1/2016,63.689999,66.199997,60.59,65.269997,63.23148,283564200
6/1/2016,64.760002,65.919998,57.049999,62.139999,60.19923,394710800
7/1/2016,61.66,64.980003,58.759998,63.970001,61.97208,283798300
8/1/2016,64.150002,67.769997,63.380001,67.5,65.900879,261217500
9/1/2016,67.639999,67.900002,65.110001,66.589996,65.012436,315475600
10/1/2016,66.349998,69.769997,66.099998,69.260002,67.619186,303809400
11/1/2016,69.480003,80.529999,67.639999,80.169998,78.839691,457634900
12/1/2016,80.650002,87.389999,80.650002,85.489998,84.071411,378016700
1/1/2017,87.339996,88.169998,83.029999,84.629997,83.225693,342770300
2/1/2017,85.540001,91.339996,84.160004,90.620003,89.609398,271174200
3/1/2017,92.790001,93.980003,85.230003,87.839996,86.860382,371669000
4/1/2017,87.989998,89.129997,84.360001,87,86.029755,321139800
5/1/2017,87.360001,88.089996,81.639999,82.150002,81.700607,283613500
6/1/2017,82.459999,92.650002,81.650002,91.400002,90.900002,333575900
7/1/2017,91.559998,94.510002,90.32,91.800003,91.297813,270763600
8/1/2017,92.489998,95.220001,90.160004,90.889999,90.889999,253144800
9/1/2017,91.25,95.879997,88.080002,95.510002,95.510002,250922800
10/1/2017,95.769997,97.440002,95.459999,96.360001,96.360001,35565800
