Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,46.889999,50.049999,46.73,47.810001,44.253918,523005900
12/1/2014,47.880001,49.060001,44.900002,46.450001,43.266247,626771200
1/1/2015,46.66,47.91,40.349998,40.400002,37.63092,918681100
2/1/2015,40.59,44.299999,40.23,43.849998,40.844452,655957100
3/1/2015,43.669998,44.189999,40.540001,40.66,38.142635,822551400
4/1/2015,40.599998,49.540001,40.119999,48.639999,45.628563,873936700
5/1/2015,48.580002,48.91,46.02,46.860001,43.958771,631475800
6/1/2015,47.060001,47.77,43.939999,44.150002,41.685722,664339200
7/1/2015,44.459999,47.400002,43.32,46.700001,44.093388,725458100
8/1/2015,46.98,48.41,39.720001,43.52,41.090885,775228000
9/1/2015,42.169998,45,41.66,44.259998,42.065155,671417600
10/1/2015,44.75,54.369999,43.75,52.639999,50.029591,856322800
11/1/2015,52.849998,54.98,52.529999,54.349998,51.654785,662559200
12/1/2015,54.41,56.849998,53.68,55.48,53.084164,791895100
1/1/2016,54.32,55.389999,49.099998,55.09,52.711006,927433200
2/1/2016,54.880001,55.09,48.189999,50.880001,48.682812,813425300
3/1/2016,50.970001,55.639999,50.580002,55.23,53.224377,640548300
4/1/2016,55.049999,56.77,49.349998,49.869999,48.059025,697861300
5/1/2016,50,53,49.459999,53,51.075367,530284000
6/1/2016,52.439999,52.950001,48.040001,51.169998,49.656723,823351500
7/1/2016,51.130001,57.290001,50.389999,56.68,55.003773,647351200
8/1/2016,56.599998,58.700001,56.139999,57.459999,55.760704,466729800
9/1/2016,57.009998,58.189999,55.610001,57.599998,56.244946,526196300
10/1/2016,57.41,61.369999,56.32,59.919998,58.510365,614211700
11/1/2016,59.970001,61.41,57.279999,60.259998,58.842373,612034100
12/1/2016,60.110001,64.099998,58.799999,62.139999,61.088055,513256500
1/1/2017,62.790001,65.910004,61.950001,64.650002,63.555569,492744700
2/1/2017,64.360001,65.239998,62.75,63.98,62.896912,440636000
3/1/2017,64.129997,66.190002,63.619999,65.860001,65.137604,489169700
4/1/2017,65.809998,69.139999,64.849998,68.459999,67.709076,433191200
5/1/2017,68.68,70.739998,67.139999,69.839996,69.073936,517075300
6/1/2017,70.239998,72.889999,68.089996,68.93,68.564697,629519000
7/1/2017,69.330002,74.419998,68.019997,72.699997,72.314713,469642800
8/1/2017,73.099998,74.959999,71.279999,74.769997,74.373741,444041200
9/1/2017,74.709999,75.970001,72.919998,74.489998,74.489998,375983900
10/1/2017,74.709999,75.010002,73.709999,74.690002,74.690002,40787500
