Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,29.9,31.639999,29.76,31.15,27.958838,406678200
12/1/2014,30.879999,33.119999,30.58,31.15,28.200983,533277200
1/1/2015,31.27,33.5,31.01,31.25,28.291517,595433100
2/1/2015,31.440001,34.970001,31.02,34.32,31.070877,604385000
3/1/2015,34.32,35.450001,33.630001,34.790001,31.774239,653594300
4/1/2015,34.84,35.529999,33.709999,33.93,30.988789,549790900
5/1/2015,33.860001,34.990002,33.209999,34.75,31.737703,437082900
6/1/2015,34.77,34.919998,33.330002,33.529999,30.876839,507124700
7/1/2015,33.560001,36.459999,33.080002,36.060001,33.20665,497228800
8/1/2015,36.290001,36.299999,28.469999,33.259998,30.628202,626309600
9/1/2015,31.459999,33.959999,30.639999,31.41,29.150627,579412900
10/1/2015,31.299999,36.07,31.1,33.82,31.38727,678477400
11/1/2015,34.169998,35.25,30.99,32.77,30.412802,849725200
12/1/2015,33,33.830002,31.84,32.279999,30.199854,738234000
1/1/2016,31.85,32.240002,29.59,30.49,28.525202,702863500
2/1/2016,30.34,30.9,28.25,29.67,27.758045,849365300
3/1/2016,29.790001,30.610001,28.74,29.639999,28.008762,1044271800
4/1/2016,29.440001,33.5,29.41,32.709999,30.909805,1183286000
5/1/2016,32.560001,34.75,32.5,34.700001,32.790291,611145900
6/1/2016,34.700001,35.5,33.529999,35.209999,33.570179,575116000
7/1/2016,35.150002,37.189999,35.119999,36.889999,35.171936,350569200
8/1/2016,37.02,37.389999,34.610001,34.799999,33.179272,479354700
9/1/2016,34.73,34.990002,33.299999,33.869999,32.561016,398115100
10/1/2016,33.73,34,31.610001,31.709999,30.484497,396939200
11/1/2016,30.940001,33.830002,29.83,32.139999,30.897881,740367000
12/1/2016,32.25,33.299999,30.51,31.700001,30.778826,570151700
1/1/2017,32.700001,33.700001,30.9,31.73,30.807951,525842900
2/1/2017,31.51,34.459999,31.26,34.119999,33.128498,518910600
3/1/2017,34.27,34.75,33.720001,34.209999,33.554283,515406000
4/1/2017,34.110001,34.52,33.470001,33.919998,33.26984,353037500
5/1/2017,33.889999,33.990002,31.969999,32.650002,32.024189,531420900
6/1/2017,32.669998,34.48,31.67,33.59,33.265064,464742700
7/1/2017,33.48,33.970001,32.689999,33.16,32.839226,305308900
8/1/2017,33.040001,34.02,32.32,33.919998,33.591873,388615100
9/1/2017,33.939999,36.209999,33.75,35.700001,35.700001,387075500
10/1/2017,35.669998,36.240002,35.490002,35.959999,35.959999,41052700
