Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,95.449997,99.419998,93.010002,98.629997,93.929703,68331900
12/1/2014,98.75,104,95.75,101.089996,96.272461,82445400
1/1/2015,101.5,114.32,98.459999,106.25,101.568108,100661200
2/1/2015,106.730003,116.580002,105.07,113.629997,108.622902,76090400
3/1/2015,113.629997,123.760002,111.650002,118.290001,113.077568,83103000
4/1/2015,119.519997,122.32,111.120003,111.400002,106.84745,86861100
5/1/2015,112.290001,121.849998,111.739998,120.209999,115.297424,72144800
6/1/2015,120.540001,124.110001,115.360001,122,117.014259,106419800
7/1/2015,122.949997,126.050003,116.660004,121.400002,116.931969,95034600
8/1/2015,121.610001,126.209999,95,115.699997,111.441734,84019200
9/1/2015,113.360001,125.120003,111.010002,116.010002,111.740341,94116400
10/1/2015,115.940002,125.989998,110.07,117.779999,113.935921,105779500
11/1/2015,118.639999,119.949997,109.610001,112.709999,109.031395,82097600
12/1/2015,113.529999,121.089996,113.050003,117.639999,113.800476,76066500
1/1/2016,116.910004,117.889999,107.510002,115.160004,111.882599,88318600
2/1/2016,114.830002,122.260002,108.830002,119.099998,115.710472,72041400
3/1/2016,119.489998,131.100006,119.370003,128.899994,125.23156,70809500
4/1/2016,128.690002,135.110001,125.260002,131.679993,128.460373,71179600
5/1/2016,132.610001,134.75,128.529999,133.669998,130.401733,55516300
6/1/2016,133.580002,141.309998,133.020004,141.199997,137.74762,76389400
7/1/2016,141.160004,144.479996,139.320007,143.199997,140.334885,71139500
8/1/2016,143.419998,144.160004,135.550003,136.050003,133.327972,50465800
9/1/2016,136.820007,141.779999,132.389999,140,137.198929,67488300
10/1/2016,139.350006,146.360001,133.029999,141.330002,139.141891,81589600
11/1/2016,141.509995,159.759995,136.220001,158.320007,155.868851,95781400
12/1/2016,159.119995,164,156.229996,160.039993,158.189575,76132500
1/1/2017,161.130005,163.800003,156.089996,162.100006,160.225784,72554200
2/1/2017,162.75,166.759995,156.490005,165.380005,163.467865,72694200
3/1/2017,166.720001,172.139999,162.740005,164.009995,162.113678,84728500
4/1/2017,164.619995,176.070007,164.25,174.880005,173.502335,61871600
5/1/2017,175,178.889999,166.649994,175.179993,173.799973,63384800
6/1/2017,175.779999,188.660004,175.190002,185.419998,183.959305,65379500
7/1/2017,186.289993,193,183.860001,191.809998,191.084839,55888400
8/1/2017,193.399994,199.490005,190.630005,198.899994,198.148026,50893600
9/1/2017,199.789993,200.759995,188.25,195.850006,195.109573,57668800
10/1/2017,196.589996,200.729996,196.330002,200.479996,200.479996,7703400
