Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,107.419998,112.260002,106.029999,110.080002,102.33461,77229800
12/1/2014,109.059998,118.019997,108.699997,115,107.494263,91296700
1/1/2015,115.139999,120.949997,110.230003,114.779999,107.28862,97670600
2/1/2015,115.169998,124.449997,114.050003,121.910004,113.953262,60996300
3/1/2015,121.910004,123.5,115.019997,117.199997,110.141037,90476200
4/1/2015,117.370003,119,113.290001,113.75,106.898842,66206400
5/1/2015,114.589996,119.660004,114.269997,117.169998,110.112846,61670300
6/1/2015,117.230003,119.120003,110.620003,110.93,104.820297,80202800
7/1/2015,112.029999,112.360001,97.589996,100.309998,94.785217,133148200
8/1/2015,100.309998,100.309998,87.169998,91.610001,86.564384,123434900
9/1/2015,89.489998,94.919998,85.5,88.989998,84.637993,115445600
10/1/2015,88.900002,100.980003,86.82,98.410004,93.597336,100999200
11/1/2015,98.82,101.040001,95.940002,96.050003,91.352745,82100800
12/1/2015,96.040001,97.769997,91.629997,96.07,91.962326,127150300
1/1/2016,94.449997,96,83.389999,87.690002,83.940636,140797300
2/1/2016,87.059998,100.550003,83.849998,96.620003,92.488815,182723100
3/1/2016,92.220001,101,92.07,100.099998,96.534439,103153600
4/1/2016,99.389999,107.07,98.419998,104.370003,100.652336,81404300
5/1/2016,103.889999,104.900002,97.940002,100.580002,96.99733,75154700
6/1/2016,100.089996,102.860001,96.889999,102.550003,99.553818,89851400
7/1/2016,102.480003,108.489998,99.309998,107.650002,104.504822,72715100
8/1/2016,107.459999,109.830002,105.889999,106.43,103.320457,54459600
9/1/2016,106.739998,107.720001,99.849998,101.599998,99.231552,79111300
10/1/2016,101.599998,102.809998,97.620003,102.199997,99.817551,81327400
11/1/2016,102.410004,110,100.720001,107.720001,105.20887,68664600
12/1/2016,108,111.690002,107.07,109.620003,107.724861,65431800
1/1/2017,110.389999,112.830002,108.25,109.669998,107.773987,59338500
2/1/2017,109.629997,113.190002,106.849998,112.550003,110.60421,57166600
3/1/2017,113.639999,114.440002,107.050003,112.209999,110.926277,69748700
4/1/2017,112.279999,119.610001,111.239998,118.989998,117.628708,58098200
5/1/2017,119.040001,122.839996,117.959999,121.279999,119.892517,59801900
6/1/2017,121.199997,123.089996,119.080002,122.110001,121.372871,58523700
7/1/2017,122.610001,124.790001,117.849998,118.57,117.85424,48346700
8/1/2017,119,121.660004,114.440002,119.720001,118.997299,72308700
9/1/2017,119.739998,120.160004,109.099998,116.080002,116.080002,101379400
10/1/2017,116.139999,118.220001,115.940002,117.629997,117.629997,7340900
