Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,50.490002,51.73,48.860001,50.59,44.545734,238980300
12/1/2014,50.68,50.84,45.09,46.779999,41.190945,419728200
1/1/2015,47,48.48,45.369999,45.709999,40.248779,373433700
2/1/2015,46.200001,49.990002,45.759998,49.450001,44.057068,346249200
3/1/2015,49.119999,49.900002,47.360001,48.630001,43.3265,326633600
4/1/2015,48.450001,50.650002,48.43,50.439999,44.939091,324058900
5/1/2015,50.75,50.860001,48.970001,49.439999,44.545406,278846100
6/1/2015,49.439999,49.540001,46.599998,46.610001,41.99559,350899700
7/1/2015,46.639999,48.259998,45.66,46.790001,42.157768,325825200
8/1/2015,47.18,48.209999,38.060001,46.009998,41.943214,327754100
9/1/2015,45.09,46.549999,43.279999,43.509998,39.664188,332075900
10/1/2015,43.490002,46.98,42.200001,46.880001,42.736313,314149700
11/1/2015,47.02,47.080002,44.18,45.450001,41.970924,219241000
12/1/2015,45.509998,47.23,44.330002,46.220001,42.681984,293399200
1/1/2016,45.669998,49.990002,43.790001,49.970001,46.144928,416388400
2/1/2016,49.939999,51.380001,49.27,50.73,47.422962,378365500
3/1/2016,50.990002,54.369999,50.98,54.080002,50.554585,298145400
4/1/2016,53.32,54.490002,49.470001,50.939999,47.619274,312712100
5/1/2016,51.220001,51.700001,49.049999,50.900002,48.084152,230042900
6/1/2016,50.869999,55.919998,50.119999,55.84,52.750862,330361700
7/1/2016,55.849998,56.950001,54.439999,55.41,52.34465,271341000
8/1/2016,55.580002,55.82,51.900002,52.330002,49.934116,251398800
9/1/2016,52.139999,53.880001,51.02,51.98,49.60014,280445000
10/1/2016,51.84,52.139999,47.580002,48.099998,45.897781,297038300
11/1/2016,48.32,51.200001,46.009998,49.900002,48.158398,335959500
12/1/2016,49.799999,53.900002,49.310001,53.380001,51.516937,254549200
1/1/2017,53.959999,54.830002,48.509998,49.009998,47.299458,360943300
2/1/2017,49.34,50.950001,47.799999,49.630001,48.409916,323157300
3/1/2017,49.560001,50.630001,48.669998,48.75,47.551548,287990200
4/1/2017,48.73,49.549999,45.889999,45.91,44.781368,353224600
5/1/2017,46.060001,46.950001,44.459999,46.639999,46.03624,329340700
6/1/2017,46.709999,47.5,44.360001,44.66,44.081871,304736700
7/1/2017,44.610001,48.57,42.799999,48.400002,47.773457,324744400
8/1/2017,48.68,49.630001,47.509998,47.970001,47.970001,291184700
9/1/2017,48.02,50.32,45.709999,49.490002,49.490002,302316600
10/1/2017,49.389999,50.080002,49.25,49.900002,49.900002,29589000
