Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,76.349998,88.089996,75.589996,87.540001,80.657181,159253200
12/1/2014,86.720001,87.440002,82.650002,85.879997,79.127693,138945800
1/1/2015,86.269997,90.970001,84.900002,84.980003,78.735893,158641500
2/1/2015,84.790001,88,82.550003,83.93,77.763046,138302700
3/1/2015,83.93,84,80.540001,82.25,76.20649,140925000
4/1/2015,82.279999,82.279999,77.550003,78.050003,72.749443,143546400
5/1/2015,78.199997,79.940002,74.150002,74.269997,69.226151,150969800
6/1/2015,74.690002,75.199997,70.779999,70.93,66.530235,176488600
7/1/2015,71.599998,74.139999,70.360001,71.980003,67.515091,150420400
8/1/2015,71.839996,73.690002,61.5,64.730003,60.714817,227136600
9/1/2015,63.799999,67.010002,62.919998,64.839996,61.233265,190530900
10/1/2015,64.760002,67.949997,57.16,57.240002,54.056023,346727100
11/1/2015,57.290001,61.470001,56.299999,58.84,55.567024,224621800
12/1/2015,59.130001,61.869999,58.32,61.299999,57.890182,226802600
1/1/2016,60.5,66.529999,60.200001,66.360001,63.193642,264381000
2/1/2016,65.910004,68.199997,62.349998,66.339996,63.174595,262453800
3/1/2016,66.650002,69.190002,64.879997,68.489998,65.222008,202475600
4/1/2016,68.019997,70.080002,66.360001,66.870003,64.150726,141132900
5/1/2016,66.620003,71.379997,62.720001,70.779999,67.901718,232879900
6/1/2016,70.5,73.190002,70.150002,73.019997,70.563522,185897000
7/1/2016,73.129997,74.349998,72.419998,72.970001,70.515213,137700800
8/1/2016,72.809998,75.190002,70.889999,71.440002,69.03669,212358400
9/1/2016,71.57,73.190002,70.300003,72.120003,70.170898,176953900
10/1/2016,71.830002,72.57,67.07,70.019997,68.127647,170641400
11/1/2016,69.980003,72.089996,68.120003,70.43,68.526573,210244500
12/1/2016,70.25,72.480003,68.830002,69.120003,67.251976,162308500
1/1/2017,69.239998,69.629997,65.279999,66.739998,65.401054,181638300
2/1/2017,66.459999,72.800003,66.040001,70.93,69.506989,207780000
3/1/2017,70.970001,72.559998,69.330002,72.080002,70.633926,191103100
4/1/2017,72.080002,75.769997,71.379997,75.18,74.213432,127527200
5/1/2017,75.089996,79.440002,74.959999,78.599998,77.589455,182331600
6/1/2017,78.639999,80.470001,73.290001,75.68,75.206947,247423200
7/1/2017,75.839996,80.339996,73.129997,79.989998,79.489998,143429900
8/1/2017,80.25,81.989998,77.5,78.07,77.582001,203621200
9/1/2017,78.309998,81.120003,77.730003,78.139999,78.139999,161153600
10/1/2017,77.900002,79.779999,77.5,79.089996,79.089996,21804900
