Date,Open,High,Low,Close,Adj Close,Volume
11/1/2014,96.559998,97.199997,90.110001,90.540001,81.614746,218128400
12/1/2014,90.360001,95.330002,86.190002,92.449997,83.938133,400812400
1/1/2015,92.25,93.050003,86.029999,87.419998,79.371239,326257500
2/1/2015,87.849998,93.449997,87.5,88.540001,80.388138,276201900
3/1/2015,88.339996,88.519997,82.68,85,77.754951,329343400
4/1/2015,85.699997,88.669998,83.809998,87.370003,79.922935,251333500
5/1/2015,87.849998,90.089996,84.769997,85.199997,77.937897,198881300
6/1/2015,85.25,85.970001,82.800003,83.199997,76.737846,238707700
7/1/2015,83.279999,83.529999,78.93,79.209999,73.05777,274029000
8/1/2015,78.699997,79.290001,66.550003,75.239998,69.396111,387314900
9/1/2015,73.300003,75.470001,71.510002,74.349998,69.216873,315731000
10/1/2015,75.199997,83.879997,73.029999,82.739998,77.027611,317870100
11/1/2015,82.300003,87.440002,77.910004,81.660004,76.022194,264104000
12/1/2015,81.760002,82.129997,73.790001,77.949997,73.200935,366428700
1/1/2016,77.5,79.919998,71.550003,77.849998,73.107033,418901000
2/1/2016,76.660004,83.440002,73.550003,80.150002,75.266899,359179800
3/1/2016,80.559998,85.099998,80.309998,83.589996,79.209778,292643700
4/1/2016,82.400002,89.779999,81.989998,88.400002,83.767731,221491700
5/1/2016,88.239998,90.459999,87.230003,89.019997,84.35524,218883300
6/1/2016,88.43,93.830002,87.610001,93.739998,89.57444,252036700
7/1/2016,93.360001,95.550003,86.120003,88.949997,84.997299,209438300
8/1/2016,88.080002,88.940002,85.580002,87.139999,83.267731,233633700
9/1/2016,86.720001,89.370003,82.290001,87.279999,84.112717,271393900
10/1/2016,86.940002,88.669998,82.989998,83.32,80.296417,191909700
11/1/2016,83.5,88.190002,82.760002,87.300003,84.132004,232925800
12/1/2016,87.980003,93.220001,86.599998,90.260002,87.754814,219180900
1/1/2017,90.940002,91.339996,83.129997,83.889999,81.561615,252250300
2/1/2017,84,84.160004,80.760002,81.32,79.06295,237173400
3/1/2017,81.699997,84.25,80.309998,82.010002,80.462891,315475000
4/1/2017,82.019997,83.550003,80.300003,81.650002,80.109688,192624700
5/1/2017,81.510002,83.230003,80.470001,80.5,78.981377,220043900
6/1/2017,80.370003,83.690002,79.260002,80.730003,79.955009,303532900
7/1/2017,80.790001,82.489998,78.269997,80.040001,79.271629,201257800
8/1/2017,80.160004,80.82,76.050003,76.330002,75.597252,224288700
9/1/2017,76.370003,82.449997,76.32,81.980003,81.980003,216249200
10/1/2017,81.300003,81.970001,81.25,81.790001,81.790001,19123800
