Date,Open,High,Low,Close,Adj Close,Volume
2016-10-13,67.190002,68.540001,67.070000,68.230003,66.386024,9193800
2016-10-14,68.419998,68.809998,68.209999,68.449997,66.600075,6416000
2016-10-17,68.650002,68.650002,67.800003,68.220001,66.376297,7493400
2016-10-18,68.570000,68.980003,68.230003,68.870003,67.008736,7814900
2016-10-19,69.220001,69.339996,68.690002,68.889999,67.028183,7123300
2016-10-20,68.980003,69.080002,68.570000,68.730003,66.872513,6294000
2016-10-21,68.339996,68.629997,67.989998,68.339996,66.493057,7844600
2016-10-24,68.620003,69.370003,68.389999,69.190002,67.320084,7163600
2016-10-25,69.010002,69.870003,69.000000,69.360001,67.485489,7629700
2016-10-26,69.300003,69.809998,69.139999,69.589996,67.709267,5050500
2016-10-27,69.599998,70.000000,69.389999,69.830002,67.942795,7131600
2016-10-28,69.800003,70.209999,69.730003,69.989998,68.098465,6952900
2016-10-31,70.059998,70.169998,69.849998,70.019997,68.127647,6389000
2016-11-01,69.980003,70.059998,69.139999,69.300003,67.427109,8838600
2016-11-02,69.199997,69.970001,69.199997,69.449997,67.573051,7645300
2016-11-03,69.629997,70.080002,69.349998,69.629997,67.748192,6803900
2016-11-04,69.709999,69.940002,69.129997,69.160004,67.290901,7262100
2016-11-07,69.620003,69.839996,69.160004,69.779999,67.894135,9755400
2016-11-08,69.709999,70.040001,69.470001,69.790001,67.903870,7616500
2016-11-09,69.300003,71.500000,69.290001,71.099998,69.178459,16779500
2016-11-10,71.250000,72.089996,71.000000,71.389999,69.460625,14321300
2016-11-11,71.110001,71.279999,70.599998,71.230003,69.304962,8223900
2016-11-14,71.160004,71.309998,70.190002,70.489998,68.584946,12856200
2016-11-15,70.790001,71.419998,70.349998,71.419998,69.489815,9725100
2016-11-16,71.750000,72.059998,71.330002,71.389999,69.460625,11132400
2016-11-17,69.080002,69.519997,68.120003,69.190002,67.320084,23440300
2016-11-18,68.930000,69.400002,68.440002,68.540001,66.687645,11135300
2016-11-21,68.540001,69.400002,68.419998,69.370003,67.495224,8356000
2016-11-22,69.730003,70.419998,69.730003,70.120003,68.224953,10984000
2016-11-23,70.220001,70.889999,70.180000,70.830002,68.915756,7398900
2016-11-25,71.110001,71.650002,70.980003,71.230003,69.304962,4234400
2016-11-28,70.930000,71.519997,70.800003,71.190002,69.266037,7099200
2016-11-29,71.379997,71.790001,71.199997,71.370003,69.441170,7310100
2016-11-30,70.919998,71.160004,70.169998,70.430000,68.526573,9326100
2016-12-01,70.250000,70.730003,70.050003,70.669998,68.760086,6849800
2016-12-02,70.580002,70.949997,70.449997,70.879997,68.964401,6674200
2016-12-05,70.900002,70.989998,69.809998,69.940002,68.049812,10527900
2016-12-06,70.010002,70.389999,69.500000,70.360001,68.458458,7778000
2016-12-07,69.930000,70.650002,69.900002,70.599998,69.183617,6966200
2016-12-08,70.480003,70.900002,70.320000,70.339996,68.928833,6844200
2016-12-09,70.269997,70.430000,69.739998,70.080002,68.674057,10756700
2016-12-12,70.070000,71.779999,70.019997,71.669998,70.232140,9084100
2016-12-13,71.669998,72.230003,71.610001,71.800003,70.359543,8887500
2016-12-14,71.900002,72.480003,71.180000,71.339996,69.908768,8669400
2016-12-15,71.220001,71.800003,71.029999,71.080002,69.653992,7136300
2016-12-16,71.070000,71.639999,70.599998,70.980003,69.556000,17642900
2016-12-19,70.839996,71.750000,70.839996,71.580002,70.143959,5889300
2016-12-20,71.730003,71.930000,71.510002,71.820000,70.379143,6108100
2016-12-21,71.660004,72.000000,71.239998,71.239998,69.810768,5101000
2016-12-22,71.239998,71.239998,69.209999,69.589996,68.193871,12106800
2016-12-23,69.430000,69.750000,69.360001,69.540001,68.144882,4795400
2016-12-27,69.300003,69.820000,69.250000,69.699997,68.301666,4435700
2016-12-28,69.940002,70.000000,69.260002,69.309998,67.919495,4875700
